What term defines a change in the DNA sequence that serves as the ultimate source of all genetic variation?,Mutation
Which specific cells must a mutation affect to be transmitted from one generation to the next?,Germline cells
What is the term for the differing DNA sequences of a gene among individuals?,Alleles
Concept: Locus,Definition: The specific physical location of a gene on a chromosome.
An individual possessing two identical alleles at a given locus is known as a _____.,Homozygote
An individual possessing two different alleles at a given locus is known as a _____.,Heterozygote
What term describes the combination of alleles present at a specific locus in an individual?,Genotype
How is the genotype frequency of a population calculated?,By dividing the count of each genotype by the total number of subjects in the sample.
What term refers to the proportion of each specific allele at a locus within a population?,Gene frequency (or allele frequency)
Which principle specifies the mathematical relationship between gene frequencies and genotype frequencies under random mating?,The Hardy-Weinberg Principle
"In the Hardy-Weinberg equation $p^2 + 2pq + q^2 = 1$, what does $p^2$ represent?",The frequency of the homozygous dominant genotype.
"In the Hardy-Weinberg equation $p^2 + 2pq + q^2 = 1$, what does $2pq$ represent?",The frequency of the heterozygous genotype.
What is the synonymous term for 'random mating' used in population genetics?,Panmixia
"Under Hardy-Weinberg equilibrium, if the frequency of a recessive disease is 1 in 2500, what is the estimated carrier frequency?",1 in 25
Which evolutionary force is described as the 'editor' of genetic variation by increasing the frequency of favourable mutations?,Natural selection
Under what environmental condition is the sickle cell mutation selectively advantageous for heterozygotes?,The presence of $Plasmodium$ $falciparum$ malaria.
What term describes the evolutionary process where gene frequencies change due to random fluctuations across generations?,Genetic drift
How does population size relate to the magnitude of genetic drift?,Genetic drift is greater in smaller populations.
Which phenomenon occurs when a small group of individuals establishes a new population with unrepresentative allele frequencies?,Founder effect
"Which evolutionary force involves the exchange of migrants between populations, making them genetically more similar?",Gene flow
What is the equilibrium state reached when natural selection eliminates harmful alleles at the same rate they are introduced by mutation?,Mutation-selection balance
"In population genetics, what does the 'selection coefficient' ($s$) measure?",The relative reduction in the number of offspring produced by carriers of a specific genotype.
"What is the probability that a new, selectively neutral mutation will eventually become fixed in a diploid population of size $N$?",$\frac{1}{2N}$
"According to genomic data, what was the approximate size of the ancestral human population in Africa 200,000 years ago?","10,000 individuals"
"What is the average time to fixation for a neutral mutation in an ancestral population of 10,000 individuals with 20-year generations?","Approximately 800,000 years"
"By convention, what minimum frequency must a genetic variation reach in a population to be classified as a polymorphism?",1%
What does the abbreviation 'SNP' stand for in the context of genetic variation?,Single-nucleotide polymorphism
"How often, on average, do two randomly chosen human genomes differ by a single nucleotide pair?",1 in every 1000 nucleotide pairs
What are 'haplotype blocks' in the human genome?,Combinations of polymorphisms or markers that are inherited together as a unit.
How does the age of a polymorphism generally relate to the size of its surrounding haplotype block?,Older polymorphisms typically have smaller surrounding haplotype blocks due to more crossover events over time.
What term describes the non-random association of alleles at different loci in a population?,Linkage disequilibrium
Which research method compares the frequency of SNPs between individuals with a disease and healthy controls?,Genome-wide association study (GWAS)
