"In most multicellular organisms, what is the primary mode of mitochondrial inheritance?",Maternal inheritance (uniparental).
Why is mitochondrial DNA ($mtDNA$) inherited exclusively through the maternal line in humans?,Sperm mitochondria are either not incorporated into the embryo or are degraded after fertilisation.
What term describes the presence of a mixture of mutant and normal $mtDNA$ within a single cell?,Heteroplasmy.
How does the percentage of mutant $mtDNA$ molecules typically correlate with disease severity?,A higher percentage of mutant molecules generally leads to more severe clinical expression.
What is the approximate size of the human mitochondrial genome in base pairs?,"16,569 base pairs."
How many protein-coding genes are found in the human mitochondrial genome?,13 genes.
Mitochondrial $DNA$ is arranged in what physical shape?,Double-stranded circular molecule.
Which two types of $RNA$ involved in translation are encoded by the mitochondrial genome?,Ribosomal $RNA$ ($rRNA$) and transfer $RNA$ ($tRNA$).
How many $tRNA$ genes are contained within the human mitochondrial genome?,22 $tRNA$ genes.
True or False: Human mitochondrial genes contain introns.,"False (unlike nuclear genes, $mtDNA$ genes contain no introns)."
By what factor is the mutation rate of $mtDNA$ higher than that of nuclear $DNA$?,Approximately 10 times higher.
What are two primary reasons for the high mutation rate of mitochondrial $DNA$?,A relative lack of $DNA$ repair mechanisms and damage from free oxygen radicals released during oxidative phosphorylation.
Which organ systems are most likely to be affected by mitochondrial diseases?,"Organ systems with high $ATP$ requirements, such as the central nervous system and muscles."
What is the 'threshold level' in the context of mitochondrial disease?,The minimum level of $ATP$ production required for a tissue to function normally before degenerating.
What is the characteristic clinical symptom of Leber Hereditary Optic Neuropathy ($LHON$)?,Rapid loss of vision in the central visual field due to optic nerve death.
Why do $LHON$ pedigrees usually display a clear and uniform pattern of mitochondrial inheritance?,Heteroplasmy is minimal in $LHON$.
What does the acronym $MERRF$ stand for?,Myoclonic Epilepsy and Ragged Red Fibre disease.
What type of mutation typically causes $MERRF$?,A single-base mutation in a mitochondrial $tRNA$ gene.
What does the acronym $MELAS$ stand for?,"Mitochondrial Encephalomyopathy, Lactic Acidosis, and Stroke-like episodes."
Which mitochondrial disease is caused by deletions or duplications and involves muscle weakness and heart failure?,Kearns-Sayre disease.
"In $mtDNA$ inheritance, why can an affected father not transmit the disease to his children?",Mitochondria are only passed down from the mother via the egg.
Approximately how many nuclear $DNA$ genes encode proteins that are transported into the mitochondria?,Approximately 1000 genes.
What term describes the process where mitochondria are distributed randomly to daughter cells during division?,Mitotic segregation (or vegetative segregation).
"According to the endosymbiotic theory, mitochondria are derived from what type of ancestor?",Aerobic bacteria ($\\alpha$-proteobacteria) that were engulfed by an ancestral eukaryotic cell.
What evidence supports the bacterial origin of mitochondria regarding protein synthesis?,Mitochondrial ribosomes are sensitive to antibiotics like chloramphenicol and streptomycin.
"Mitochondrial protein synthesis uniquely begins with which amino acid, similar to bacteria?",$N$-formylmethionine.
"In the human mitochondrial genetic code, what does the codon $UGA$ signify?","Tryptophan ($Trp$), whereas it is a STOP codon in the universal code."
"In the mammalian mitochondrial code, the universal isoleucine codon $AUA$ codes for which amino acid?",Methionine ($Met$).
What is the function of the mitochondrial codons $AGA$ and $AGG$ in mammals?,"They serve as STOP codons, rather than coding for Arginine ($Arg$)."
Which organism retains a mitochondrial genetic code that is nearly identical to the standard nuclear code?,The protozoan $Reclinomonas\\ americana$.
What is 'relaxed codon usage' in mitochondria?,The ability of a single $tRNA$ to pair with any of the four nucleotides in the third (wobble) position.
